facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer,latitude,longitude
6,22090001,Avenue of the Saints Lake,06/26/2019 08:00:00,AMBLAKE-ISU,TURB,Turbidity,Total,,9.73,NTU,True,,,,ISU 2130-B,ISULAKE,Actual,MW,Water,,,Bremer,07080202,Lake,,42.710038,-92.536443
6,22090001,Avenue of the Saints Lake,06/26/2019 08:00:00,AMBLAKE-ISU,SPEC-COND,Specific conductance,Total,,183.39,uS/cm,True,,,,ISU 2510,ISULAKE,Actual,MW,Water,,,Bremer,07080202,Lake,,42.710038,-92.536443
6,22090001,Avenue of the Saints Lake,06/26/2019 08:00:00,AMBLAKE-ISU,TDS,Total dissolved solids,Total,,119.3,mg/l,True,,,,ISU 2510,ISULAKE,Actual,MW,Water,,,Bremer,07080202,Lake,,42.710038,-92.536443
6,22090001,Avenue of the Saints Lake,06/26/2019 08:00:00,AMBLAKE-ISU,TEMP-WATER,"Temperature, water",Total,,22.3,deg C,True,,,,ISU 2550,ISULAKE,Actual,MW,Water,,,Bremer,07080202,Lake,,42.710038,-92.536443
6,22090001,Avenue of the Saints Lake,06/26/2019 08:00:00,AMBLAKE-ISU,PH,pH,Total,,8.2,None,True,,,,ISU 4500-H,ISULAKE,Actual,MW,Water,,,Bremer,07080202,Lake,,42.710038,-92.536443
6,22090001,Avenue of the Saints Lake,06/26/2019 08:00:00,AMBLAKE-ISU,7782-44-7,Dissolved oxygen (DO),Total,,9.7,mg/l,True,,,,ISU 4500-O-G,ISULAKE,Actual,MW,Water,,,Bremer,07080202,Lake,,42.710038,-92.536443
6,22090001,Avenue of the Saints Lake,06/26/2019 08:00:00,AMBLAKE-ISU,DO-SAT,Dissolved oxygen saturation,Total,,111.3,%,True,,,,ISU 4500-O-G,ISULAKE,Actual,MW,Water,,,Bremer,07080202,Lake,,42.710038,-92.536443
6,22090001,Avenue of the Saints Lake,06/26/2019 08:00:00,AMBLAKE-ISU,DEPTH-BOTTOM,"Depth, bottom",Total,,5.9,m,True,,,,Unknown,ISULAKE,Actual,MW,Water,,,Bremer,07080202,Lake,,42.710038,-92.536443
6,22090001,Avenue of the Saints Lake,06/26/2019 08:00:00,AMBLAKE-ISU,DEPTH-SECCHI,"Depth, Secchi disk depth",Total,,0.525,m,True,,,,Unknown,ISULAKE,Actual,MW,Water,,,Bremer,07080202,Lake,,42.710038,-92.536443
6,22090001,Avenue of the Saints Lake,06/26/2019 08:00:00,AMBLAKE-ISU,DEPTH-THERMO,"Depth, thermocline",Total,,2,m,True,,,,Unknown,ISULAKE,Actual,MW,Water,,,Bremer,07080202,Lake,,42.710038,-92.536443
