Species,day,part,Length,Width
setosa,1,Sepal,5.1,3.5
setosa,1,Petal,1.4,0.2
setosa,2,Sepal,4.9,3
setosa,2,Petal,1.4,0.2
setosa,3,Sepal,4.7,3.2
setosa,3,Petal,1.3,0.2
setosa,4,Sepal,4.6,3.1
setosa,4,Petal,1.5,0.2
setosa,5,Sepal,5,3.6
setosa,5,Petal,1.4,0.2
setosa,6,Sepal,5.4,3.9
setosa,6,Petal,1.7,0.4
setosa,7,Sepal,4.6,3.4
setosa,7,Petal,1.4,0.3
setosa,8,Sepal,5,3.4
setosa,8,Petal,1.5,0.2
setosa,9,Sepal,4.4,2.9
setosa,9,Petal,1.4,0.2
setosa,10,Sepal,4.9,3.1
setosa,10,Petal,1.5,0.1
setosa,11,Sepal,5.4,3.7
setosa,11,Petal,1.5,0.2
setosa,12,Sepal,4.8,3.4
setosa,12,Petal,1.6,0.2
setosa,13,Sepal,4.8,3
setosa,13,Petal,1.4,0.1
setosa,14,Sepal,4.3,3
setosa,14,Petal,1.1,0.1
setosa,15,Sepal,5.8,4
setosa,15,Petal,1.2,0.2
setosa,16,Sepal,5.7,4.4
setosa,16,Petal,1.5,0.4
setosa,17,Sepal,5.4,3.9
setosa,17,Petal,1.3,0.4
setosa,18,Sepal,5.1,3.5
setosa,18,Petal,1.4,0.3
setosa,19,Sepal,5.7,3.8
setosa,19,Petal,1.7,0.3
setosa,20,Sepal,5.1,3.8
setosa,20,Petal,1.5,0.3
setosa,21,Sepal,5.4,3.4
setosa,21,Petal,1.7,0.2
setosa,22,Sepal,5.1,3.7
setosa,22,Petal,1.5,0.4
setosa,23,Sepal,4.6,3.6
setosa,23,Petal,1,0.2
setosa,24,Sepal,5.1,3.3
setosa,24,Petal,1.7,0.5
setosa,25,Sepal,4.8,3.4
setosa,25,Petal,1.9,0.2
setosa,26,Sepal,5,3
setosa,26,Petal,1.6,0.2
setosa,27,Sepal,5,3.4
setosa,27,Petal,1.6,0.4
setosa,28,Sepal,5.2,3.5
setosa,28,Petal,1.5,0.2
setosa,29,Sepal,5.2,3.4
setosa,29,Petal,1.4,0.2
setosa,30,Sepal,4.7,3.2
setosa,30,Petal,1.6,0.2
setosa,31,Sepal,4.8,3.1
setosa,31,Petal,1.6,0.2
setosa,32,Sepal,5.4,3.4
setosa,32,Petal,1.5,0.4
setosa,33,Sepal,5.2,4.1
setosa,33,Petal,1.5,0.1
setosa,34,Sepal,5.5,4.2
setosa,34,Petal,1.4,0.2
setosa,35,Sepal,4.9,3.1
setosa,35,Petal,1.5,0.2
setosa,36,Sepal,5,3.2
setosa,36,Petal,1.2,0.2
setosa,37,Sepal,5.5,3.5
setosa,37,Petal,1.3,0.2
setosa,38,Sepal,4.9,3.6
setosa,38,Petal,1.4,0.1
setosa,39,Sepal,4.4,3
setosa,39,Petal,1.3,0.2
setosa,40,Sepal,5.1,3.4
setosa,40,Petal,1.5,0.2
setosa,41,Sepal,5,3.5
setosa,41,Petal,1.3,0.3
setosa,42,Sepal,4.5,2.3
setosa,42,Petal,1.3,0.3
setosa,43,Sepal,4.4,3.2
setosa,43,Petal,1.3,0.2
setosa,44,Sepal,5,3.5
setosa,44,Petal,1.6,0.6
setosa,45,Sepal,5.1,3.8
setosa,45,Petal,1.9,0.4
setosa,46,Sepal,4.8,3
setosa,46,Petal,1.4,0.3
setosa,47,Sepal,5.1,3.8
